StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,213 - personal_1,213 - personal_2,213 - personal_3,213 - user query,213 - ranking_0_GROUP,213 - ranking_0_1_RANK,213 - ranking_0_2_RANK,213 - ranking_0_3_RANK,213 - ranking_0_4_RANK,213 - ranking_0_5_RANK,213 - ranking_0_6_RANK,253 - personal_1,253 - personal_2,253 - personal_3,253 - user query,253 - ranking_0_GROUP,253 - ranking_0_1_RANK,253 - ranking_0_2_RANK,253 - ranking_0_3_RANK,253 - ranking_0_4_RANK,253 - ranking_0_5_RANK,253 - ranking_0_6_RANK,234 - personal_1,234 - personal_2,234 - personal_3,234 - user query,234 - ranking_0_GROUP,234 - ranking_0_1_RANK,234 - ranking_0_2_RANK,234 - ranking_0_3_RANK,234 - ranking_0_4_RANK,234 - ranking_0_5_RANK,234 - ranking_0_6_RANK,283 - personal_1,283 - personal_2,283 - personal_3,283 - user query,283 - ranking_0_GROUP,283 - ranking_0_1_RANK,283 - ranking_0_2_RANK,283 - ranking_0_4_RANK,283 - ranking_0_5_RANK,283 - ranking_0_6_RANK,283 - ranking_0_3_RANK,Random ID,mistakes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - carpal tunnel syndrome - Rank","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - cts syndrome - Rank","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - carpal tunnel syndrome wiki - Rank","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - what is carpal tunnel syndrome - Rank","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - carpal tunnel - Rank","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - carpool tunnel - Rank","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - tooth abscess treatment - Rank","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - abscess treatment - Rank","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - treatment for tooth abscess - Rank","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - tooth pain treatment - Rank","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - treatment for jaw pain - Rank","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - will tooth fairy help with pain - Rank","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - healthy food - Rank","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - healthy dark chocolate - Rank","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - dark chocolate health - Rank","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - how healthy is dark chocolate to the human body - Rank","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - health impact of dark chocolate - Rank","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - benefits of darkness on health - Rank","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Groups - Rank the best query on top","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - ride in pennsylvania - Rank","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - hayride in pennsylvania - Rank","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - where in pennsylvania you can go on a hayride - Rank","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - pennsylvania usa hayride - Rank","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - hayride pennsylvania - Rank","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: The best query is the one most likely to generate useful results. - Ranks - Rank the best query on top - pennsylvania high road - Rank",Random ID,mistakes
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID123940044_9""}","{""ImportId"":""QID123940044_2""}","{""ImportId"":""QID123940044_3""}","{""ImportId"":""QID123940045_TEXT""}","{""ImportId"":""QID123940060_0_GROUP""}","{""ImportId"":""QID123940060_G0_1_RANK""}","{""ImportId"":""QID123940060_G0_2_RANK""}","{""ImportId"":""QID123940060_G0_3_RANK""}","{""ImportId"":""QID123940060_G0_4_RANK""}","{""ImportId"":""QID123940060_G0_5_RANK""}","{""ImportId"":""QID123940060_G0_6_RANK""}","{""ImportId"":""QID123940049_9""}","{""ImportId"":""QID123940049_2""}","{""ImportId"":""QID123940049_3""}","{""ImportId"":""QID123940046_TEXT""}","{""ImportId"":""QID123940047_0_GROUP""}","{""ImportId"":""QID123940047_G0_1_RANK""}","{""ImportId"":""QID123940047_G0_2_RANK""}","{""ImportId"":""QID123940047_G0_3_RANK""}","{""ImportId"":""QID123940047_G0_4_RANK""}","{""ImportId"":""QID123940047_G0_5_RANK""}","{""ImportId"":""QID123940047_G0_6_RANK""}","{""ImportId"":""QID123940050_9""}","{""ImportId"":""QID123940050_2""}","{""ImportId"":""QID123940050_3""}","{""ImportId"":""QID123940051_TEXT""}","{""ImportId"":""QID123940052_0_GROUP""}","{""ImportId"":""QID123940052_G0_1_RANK""}","{""ImportId"":""QID123940052_G0_2_RANK""}","{""ImportId"":""QID123940052_G0_3_RANK""}","{""ImportId"":""QID123940052_G0_4_RANK""}","{""ImportId"":""QID123940052_G0_5_RANK""}","{""ImportId"":""QID123940052_G0_6_RANK""}","{""ImportId"":""QID123940053_9""}","{""ImportId"":""QID123940053_2""}","{""ImportId"":""QID123940053_3""}","{""ImportId"":""QID123940054_TEXT""}","{""ImportId"":""QID123940055_0_GROUP""}","{""ImportId"":""QID123940055_G0_1_RANK""}","{""ImportId"":""QID123940055_G0_2_RANK""}","{""ImportId"":""QID123940055_G0_4_RANK""}","{""ImportId"":""QID123940055_G0_5_RANK""}","{""ImportId"":""QID123940055_G0_6_RANK""}","{""ImportId"":""QID123940055_G0_3_RANK""}","{""ImportId"":""Random ID""}","{""ImportId"":""mistakes""}"
2022-02-09 11:42:53,2022-02-09 11:44:54,0,67.247.68.1,100,120,1,2022-02-09 11:44:54,R_Bslad32f08pLEC5,,,,,43.0641937255859375,-74.3339996337890625,anonymous,EN,0.89999997615814208984375,,0,0,,2,2,3,carpal tunnel syndrome symptoms,"4,1,3,2,5,6",2,4,3,1,5,6,2,2,3,abscess treatments,"3,1,2,4,5,6",2,3,1,4,5,6,2,2,3,dark chocolate health benefits,"5,3,2,4,1,6",5,3,2,4,1,6,2,2,3,Pennsylvania hay rides,"4,5,2,6,1,3",5,3,1,2,4,6,40083393601,1
2022-02-09 11:50:34,2022-02-09 11:54:17,0,207.98.181.45,100,222,1,2022-02-09 11:54:17,R_2aDZ1wBaHXjZT2q,,,,,42.66259765625,-83.1837005615234375,anonymous,EN,1,,0,0,,4,5,5,carpal tunnel syndrome symptoms,"1,4,3,5,6,2",1,6,3,2,4,5,3,4,5,abscess tooth treatment,"1,3,4,5,2,6",1,5,2,3,4,6,4,4,5,dark chocolate health benefits,"5,4,2,3,1,6",5,3,4,2,1,6,4,5,4,hay rides in pennsylvania,"2,6,4,5,1,3",5,1,3,4,2,6,90360995021,2
2022-02-09 12:07:18,2022-02-09 12:11:57,0,71.167.237.210,100,278,1,2022-02-09 12:11:57,R_wNspMgA938TvtOF,,,,,40.7808990478515625,-73.95020294189453125,anonymous,EN,1,,0,0,,4,4,4,symptoms of carpal tunnel syndrome,"1,4,3,2,5,6",1,4,3,2,5,6,4,4,4,treatment for jaw pain,"5,1,3,4,2,6",2,5,3,4,1,6,4,4,4,health benefits of dark chocolate,"5,4,2,3,1,6",5,3,4,2,1,6,4,4,4,hay ride in Pennsylvania,"5,4,2,6,3,1",6,3,2,1,4,5,52830093409,1
2022-02-09 13:04:34,2022-02-09 13:06:55,0,71.175.7.39,100,140,1,2022-02-09 13:06:55,R_1DNhuRmkgSXtz0r,,,,,40.14349365234375,-75.377899169921875,anonymous,EN,1,,0,20,,4,2,4,carpal tunnel syndromes,"3,1,4,5,2,6",2,5,1,3,4,6,5,4,3,treatments for dental abscess,"3,1,2,4,5,6",2,3,1,4,5,6,2,3,4,dark chocolate health benefits,"4,5,3,1,2,6",4,5,3,1,2,6,4,1,3,PA hay ride locations,"4,2,5,6,1,3",5,2,1,3,4,6,81249084305,1
2022-02-09 13:23:21,2022-02-09 13:25:12,0,204.210.102.216,23,111,0,2022-02-09 14:23:26,R_TpcnwCiLs6GZBqp,,,,,,,anonymous,EN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,Pennsylvania hay ride,,,,,,,,47351136421,10
2022-02-09 14:58:32,2022-02-09 15:00:57,0,76.125.139.110,100,144,1,2022-02-09 15:00:57,R_2QDPfC9kv4VB1Pc,,,,,40.4412994384765625,-79.25330352783203125,anonymous,EN,0.89999997615814208984375,,0,0,,2,4,4,carpal tunnel symptoms,"3,1,5,4,2,6",2,5,1,4,3,6,5,4,5,abscessed tooth treatments,"3,1,2,4,5,6",2,3,1,4,5,6,2,4,5,dark chocolate health benefits,"5,4,2,3,1,6",5,3,4,2,1,6,5,3,4,pennsylvania hayride,"4,6,2,5,1,3",5,3,1,4,2,6,48006221780,1
2022-02-09 16:42:19,2022-02-09 16:45:56,0,50.231.89.205,100,216,1,2022-02-09 16:45:56,R_55yOicX58qrHpXH,,,,,40.7156982421875,-74,anonymous,EN,1,,0,5,,5,5,5,syndrome,"4,2,1,5,6,3",3,2,6,1,4,5,5,5,5,tooth and jaw,"4,1,6,2,5,3",2,4,6,1,5,3,5,5,5,healthy foods,"1,2,3,5,6,4",1,2,3,6,4,5,5,5,5,pennsylvania,"4,6,2,3,5,1",6,3,1,5,2,4,55852796516,4
2022-02-09 21:53:05,2022-02-09 21:56:47,0,188.210.212.133,100,221,1,2022-02-09 21:56:49,R_1gMgKB5PJUHjZI1,,,,,53.48089599609375,-2.237396240234375,anonymous,EN,1,,0,0,,1,1,4,carpal tunnel syndrome symptoms,"1,4,3,5,2,6",1,5,3,2,4,6,2,2,4,tooth abscess treatment,"1,3,2,4,5,6",1,3,2,4,5,6,5,5,5,dark chocolate health benefits,"5,4,3,2,1,6",5,4,3,2,1,6,2,5,5,hay ride pennsylvania usa,"4,5,2,6,1,3",5,3,1,2,4,6,71279405744,1
